 
 ~~~~~~~~~~~~~~~~~~~ ÖðÕíÈ«Æ«²î ~~~~~~~~~~~~~~~~~~~~
         Àï³Ì/m  µ÷Ç°¸ß³Ì/mm  µ÷Ç°Æ½Ãæ/mm  µ÷Ç°Ë®Æ½/mm  µ÷Ç°¹ì¾à/mm  µ¼Ïò¹ì  µ÷×ó¹ì¸ß/mm  µ÷ÓÒ¹ì¸ß/mm  µ÷×óÆ½Ãæ/mm  µ÷ÓÒÆ½Ãæ/mm   µ÷ºó¸ß³Ì/mm  µ÷ºóÆ½Ãæ/mm  µ÷ºóË®Æ½/mm  µ÷ºó¹ì¾à/mm  Éè¼Æ³¬¸ß/mm
      1896.682        1.041        1.744        -.700         .500     ×ó         -2.242       -1.542        1.012         .512       -1.201         .732           0.           0.         .000
      1897.276         .610        1.153        -.600         .426     ×ó         -1.835       -1.235         .416        -.010       -1.224         .737           0.           0.         .000
      1897.870         .147         .874        -.499         .801     ×ó         -1.395        -.896         .133        -.668       -1.248         .741           0.           0.         .000
      1898.465        -.481         .806        -.300        1.000     ×ó          -.791        -.491         .060        -.940       -1.272         .746           0.           0.         .000
      1899.059        -.964         .809         .052        1.048     ×ó          -.332        -.384         .059        -.989       -1.296         .750           0.           0.         .000
      1899.654       -1.441         .994         .527         .800     ×ó           .122        -.406         .239        -.561       -1.320         .755           0.           0.         .000
      1900.248       -1.860        1.064        1.003         .697     ×ó           .516        -.487         .305        -.392       -1.344         .759           0.           0.         .000
      1900.843       -2.682         .808        1.400         .600     ×ó          1.315        -.085         .044        -.556       -1.368         .764           0.           0.         .000
      1901.437       -3.427         .644        1.500         .500     ×ó          2.036         .536        -.124        -.624       -1.391         .768           0.           0.         .000
      1902.032       -4.043         .539        1.500         .600     ×ó          2.628        1.128        -.234        -.834       -1.415         .773           0.           0.         .000
      1902.626       -4.443         .601        1.300         .700     ×ó          3.004        1.704        -.177        -.877       -1.439         .778           0.           0.         .000
      1903.220       -4.560         .523        1.120         .800     ×ó          3.097        1.977        -.259       -1.059       -1.463         .782           0.           0.         .000
      1903.815       -4.373         .411         .844         .800     ×ó          2.886        2.042        -.375       -1.175       -1.487         .787           0.           0.         .000
      1904.409       -4.290         .035         .400         .669     ×ó          2.779        2.379        -.756       -1.425       -1.511         .791           0.           0.         .000
      1905.004       -4.436        -.183         .000         .794     ×ó          2.902        2.902        -.979       -1.773       -1.535         .796           0.           0.         .000
      1905.598       -4.307         .081        -.282         .500     ×ó          2.748        3.030        -.719       -1.219       -1.558         .800           0.           0.         .000
      1906.193       -4.130         .167        -.300         .543     ×ó          2.548        2.848        -.637       -1.180       -1.582         .805           0.           0.         .000
      1906.787       -3.931         .125        -.300         .600     ×ó          2.324        2.624        -.684       -1.284       -1.606         .809           0.           0.         .000
      1907.381       -3.821        -.111        -.200         .500     ×ó          2.191        2.391        -.924       -1.424       -1.630         .814           0.           0.         .000
      1907.976       -3.779        -.414        -.100         .600     ×ó          2.125        2.225       -1.232       -1.832       -1.654         .818           0.           0.         .000
      1908.576       -3.707        -.230         .200         .664     ×ó          2.029        1.829       -1.052       -1.716       -1.678         .823           0.           0.         .000
      1909.176       -3.516         .068         .444         .644     ×ó          1.814        1.371        -.759       -1.403       -1.702         .827           0.           0.         .000
      1909.776       -2.844         .390         .500         .900     ×ó          1.118         .618        -.442       -1.342       -1.726         .832           0.           0.         .000
      1910.377       -2.331         .039         .200         .800     ×ó           .580         .380        -.798       -1.598       -1.750         .837           0.           0.         .000
      1910.977       -1.899        -.549        -.267         .516     ×ó           .125         .392       -1.390       -1.906       -1.774         .841           0.           0.         .000
      1911.577       -1.267        -.482        -.600         .664     ×ó          -.532         .068       -1.328       -1.991       -1.798         .846           0.           0.         .000
      1912.177        -.667        -.012        -.700        1.087     ×ó         -1.156        -.456        -.862       -1.950       -1.823         .850           0.           0.         .000
      1912.777         .080         .815        -.500        1.376     ×ó         -1.926       -1.426        -.039       -1.416       -1.847         .855           0.           0.         .000
      1913.378         .366        1.414        -.196        1.096     ×ó         -2.237       -2.041         .555        -.541       -1.871         .859           0.           0.         .000
      1913.978         .067        2.020         .300         .333     ×ó         -1.961       -2.261        1.156         .823       -1.895         .864           0.           0.         .000
      1914.578        -.714        2.488        1.028        -.300     ×ó         -1.205       -2.233        1.619        1.919       -1.919         .869           0.           0.         .000
      1915.178       -1.444        3.121        1.788        -.056     ×ó          -.499       -2.287        2.248        2.304       -1.943         .873           0.           0.         .000
      1915.778       -2.325        3.953        2.324         .200     ×ó           .358       -1.966        3.075        2.875       -1.967         .878           0.           0.         .000
      1916.379       -3.301        4.625        2.396         .496     ×ó          1.310       -1.086        3.743        3.247       -1.991         .882           0.           0.         .000
      1916.979       -4.243        4.966        2.100         .400     ×ó          2.228         .128        4.079        3.679       -2.015         .887           0.           0.         .000
      1917.579       -5.315        5.169        1.700         .036     ×ó          3.275        1.575        4.278        4.242       -2.039         .891           0.           0.         .000
      1918.179       -6.067        5.333        1.356         .177     ×ó          4.004        2.648        4.437        4.260       -2.063         .896           0.           0.         .000
      1918.779       -6.062        5.182         .976         .724     ×ó          3.975        2.999        4.281        3.557       -2.088         .900           0.           0.         .000
      1919.380       -5.956        4.981         .804         .800     ×ó          3.844        3.040        4.076        3.276       -2.112         .905           0.           0.         .000
      1919.980       -5.921        4.903        1.085         .800     ×ó          3.786        2.701        3.993        3.193       -2.136         .910           0.           0.         .000
      1920.580       -5.660        4.983        1.565         .535     ×ó          3.500        1.935        4.069        3.534       -2.160         .914           0.           0.         .000
      1921.180       -5.272        5.022        1.700         .255     ×ó          3.088        1.388        4.103        3.848       -2.184         .919           0.           0.         .000
      1921.780       -4.771        4.971        1.375        -.075     ×ó          2.563        1.188        4.048        4.123       -2.208         .923           0.           0.         .000
      1922.381       -4.417        4.645         .695        -.305     ×ó          2.185        1.490        3.717        4.022       -2.232         .928           0.           0.         .000
      1922.981       -4.068        4.104         .115        -.600     ×ó          1.812        1.697        3.172        3.772       -2.256         .932           0.           0.         .000
      1923.581       -4.239        3.703        -.200        -.800     ×ó          1.958        2.158        2.766        3.566       -2.280         .937           0.           0.         .000
      1924.181       -4.437        3.707        -.300        -.800     ×ó          2.132        2.432        2.765        3.565       -2.304         .942           0.           0.         .000
      1924.781       -4.290        3.789        -.300        -.475     ×ó          1.962        2.262        2.843        3.318       -2.328         .946           0.           0.         .000
      1925.381       -4.004        3.864        -.305         .005     ×ó          1.652        1.957        2.913        2.908       -2.353         .951           0.           0.         .000
      1925.982       -3.765        3.553        -.485         .115     ×ó          1.389        1.874        2.598        2.483       -2.377         .955           0.           0.         .000
